der,izq
"91,0781",140.05575496160887
"91,8154",140.06445730664802
"92,5673",140.05728392363696
"93,3328",140.03345283607067
"94,1102",139.9917900714105
"94,8977",139.9310201515989
"95,6931",139.84986830447986
"96,4942",139.7471560561242
"97,2983",139.62179941719066
"98,1032",139.4732029508269
"98,9064",139.30057486393642
"99,7061",139.1037040022919
"100,501",138.88258002825864
"101,289",138.63738346572651
"102,07",138.36868845782124
"102,844",138.07696940013108
"103,611",137.7630975706133
"104,373",137.42804410203067
"105,129",137.07268869755873
"105,881",136.6981051890475
"106,631",136.30537674493127
"107,381",135.89529252008
"108,131",135.46913965941437
"108,884",135.02761773517284
"109,64",134.5718206091572
"110,401",134.1023537400969
"111,167",133.62012133851871
"111,94",133.12563011652193
"112,718",132.6193903171251
"113,504",132.10191242010401
"114,295",131.5735042294316
"115,093",131.03418514666077
"115,895",130.4842620333992
"116,702",129.92375161403316
"117,513",129.35246477720256
"118,327",128.7705146225946
"119,143",128.17771093687531
"119,961",127.57396274514925
"120,779",126.95927822683497
"121,598",126.33346442469228
"122,417",125.69652152613591
"123,235",125.04865260637288
"124,052",124.38985777551605
"124,867",123.72052970513852
"125,68",123.04096679755179
"126,491",122.35175927720574
"127,299",121.65349869258733
"128,104",120.94687693250238
"128,905",120.23287920130132
"129,701",119.51239459150048
"130,492",118.7865131211443
"131,278",118.05651909019053
"132,058",117.32350501522224
"132,832",116.58866049384827
"133,598",115.85317980441461
"134,358",115.11776218115256
"135,109",114.38399933844634
"135,852",113.65111230325925
"136,586",112.92010288472783
"137,31",112.18999674389755
"138,024",111.46081359222453
"138,728",110.73059088256795
"139,419",110.000338264802
"140,099",109.26710633594554
"140,766",108.52991866238783
"141,42",107.7878141958454
"142,06",107.03880316992296
"142,687",106.281915899226
"143,299",105.51713972558704
"143,898",104.74249855884395
"144,482",103.95796334562756
"145,052",103.1645435405293
"145,608",102.3612023859405
"146,15",101.5479255379279
"146,677",100.72568789103076
"147,189",99.89544691687648
"147,684",99.05718591424969
"148,162",98.21090446677277
"148,621",97.35854851255365
"149,058",96.50011630668186
"149,472",95.63661247384077
"149,859",94.76801866216563
"150,217",93.89532276461831
"150,543",93.01952888716943
"150,834",92.14164101999758
"151,088",91.26165679180119
"151,304",90.37957406975248
"151,479",89.49839312245408
"151,613",88.61712137738
"151,704",87.73577326467313
"151,752",86.85632647646035
"151,758",85.97879502800724
"151,721",85.10418307570151
"151,642",84.23250492689701
"151,522",83.36474846786481
"151,361",82.50091158287447
"151,162",81.64302137099926
"150,925",80.79006938965901
"150,652",79.94304369867486
"150,344",79.10296507720112
"150,003",78.26983161035736
"149,629",77.44563750664346
"149,224",76.62939066225816
"148,79",75.82308535994265
"148,328",75.02770898579502
"147,839",74.24329199352306
"147,325",73.47179524638676
"146,785",72.71323226760282
"146,222",71.96860675342032
"145,635",71.23890579356961
"145,026",70.52514928940914
"144,395",69.82731798583501
"143,744",69.14841144283365
"143,073",68.48646325067055
"142,384",67.84444054812546
"141,678",67.22138337818058
"140,957",66.61926906322365
"140,221",66.03910094349109
"139,472",65.48089263372661
"138,71",64.94762731711579
"137,938",64.43831174489033
"137,155",63.955961906278844
"136,362",63.50252071691104
"135,56",63.08001270228832
"134,748",62.688416764948485
"133,927",62.33172046652449
"133,099",62.009934747234254
"132,262",61.72503416105603
"131,419",61.478052571126234
"130,569",61.27094803728075
"129,714",61.10277493186925
"128,854",60.976531544669214
"127,991",60.89026687932733
"127,127",60.845957610010366
"126,261",60.84366641238967
"125,396",60.88240125925357
"124,533",60.96219365179109
"123,672",61.08206943588422
"122,815",61.24206152465569
"121,963",61.44017426810817
"121,115",61.67744809931843
"120,273",61.95088194687933
"119,437",62.26051107385167
"118,605",62.60534812824022
"117,779",62.9833998366353
"116,957",63.393679731834474
"116,139",63.835185034174465
"115,325",64.30593978834062
"114,514",64.80591508686798
"113,704",65.33315142440257
"112,895",65.88661374075896
"112,087",66.46531610687559
"111,277",67.06726647899234
"110,466",67.69243613319796
"109,653",68.33784296803067
"108,838",69.00347498132106
"108,021",69.6883133184445
"107,202",70.38939253411723
"106,383",71.10668437128334
"105,565",71.83819687071288
"104,748",72.58292822361302
"103,935",73.33887026628408
"103,127",74.10701723909361
"102,325",74.88435401143096
"101,53",75.66989506176557
"100,743",76.46461779822975
"99,9646",77.2664963613394
"99,1951",78.07553401356617
"98,4345",78.89269029961017
"97,6827",79.7149812849663
"96,9397",80.54435617238633
"96,205",81.3798429396617
"95,4785",82.2204039928162
"94,7599",83.06602427949959
"94,049",83.91672148290004
"93,3456",84.77048434647219
"92,6496",85.62929404680312
"91,9612",86.4901985538293
"91,2804",87.35414020508524
"90,6076",88.2191735979929
"89,9433",89.0862741552706
"89,288",89.9534472701941
"88,6425",90.82168470611934
"88,0077",91.68900837196385
"87,3845",92.5563771453423
"86,7742",93.4218457846354
"86,1778",94.28635678636024
"85,5968",95.14794834546557
"85,0323",96.00757928868734
"84,4856",96.86328781097411
"83,9577",97.71504302991441
"83,4493",98.56187335570043
"82,9609",99.402758164861
"82,4926",100.23870576938468
"82,044",101.06869496855118
"81,6145",101.89274382732302
"81,2033",102.71378995386739
"80,8094",103.53085965616319
"80,432",104.34688913823075
"80,0701",105.16187656147261
"79,7229",105.9797625016537
"79,39",106.7995368897369
"79,071",107.62418217532188
"78,7659",108.4516981216922
"78,4748",109.2850508477396
"78,1978",110.12230630942925
"77,9354",110.96146637251061
"77,6878",111.80356924544346
"77,4554",112.64564501808704
"77,2383",113.4857812887518
"77,0365",114.32297445212483
"76,8501",115.15529749065828
"76,6786",115.98183078613542
"76,5219",116.80074738204907
"76,3795",117.61102952235974
"76,251",118.41175809343986
"76,1361",119.20236009742356
"76,0348",119.98219642484167
"75,9469",120.75084174076515
"75,8728",121.50818359016561
"75,8129",122.25389457057682
"75,7682",122.98796185749174
"75,7396",123.7101577426316
"75,7284",124.4204668995227
"75,7361",125.11867738649975
"75,764",125.80468102382108
"75,8134",126.47797360687596
"75,8853",127.13835123533042
"75,9807",127.78512008131892
"76,1001",128.4177812384036
"76,2439",129.03574191198814
"76,4122",129.6382082833131
"76,6049",130.22439010232745
"76,8218",130.79369202974777
"77,0623",131.3452235748497
"77,3258",131.87838481057798
"77,6116",132.3925807759177
"77,9187",132.8873072738335
"78,2461",133.362063316842
"78,5929",133.8168410602502
"78,9579",134.25153005449033
"79,3403",134.6664154460377
"79,739",135.06208212695253
"80,1533",135.43891154309014
"80,5824",135.79778449947517
"81,0259",136.13918530850958
"81,4831",136.46389650260375
"81,9539",136.77240326505986
"82,438",137.06500087194536
"82,9354",137.3420819116765
"83,446",137.60364964831118
"83,9701",137.84991048037912
"84,5077",138.08067179239288
"85,0592",138.29604647451265
"85,6247",138.49604207015724
"86,2045",138.6806712707855
"86,7987",138.8501399627964
"87,4074",139.00455178902496
"88,031",139.14430899148388
"88,6693",139.26951017826102
"89,3224",139.38075209121052
"89,9901",139.47793182285614
"90,6723",139.5613473721843
"91,3685",139.63080014262093
"92,0782",139.68599273464716
"92,8004",139.72613640687723
"93,5342",139.75034228630815
"94,2781",139.7574300345073
"95,0306",139.74581913316416
"95,7899",139.7139380759816
"96,554",139.6601055881925
"97,3208",139.58274659926244
"98,0882",139.48037731578023
"98,8543",139.3519085341019
"99,6173",139.19644081338345
"100,376",139.01356777777193
"101,129",138.80287767158177
"101,877",138.56454549863568
"102,619",138.2990423771635
"103,356",138.0070348343972
"104,089",137.68948704066872
"104,818",137.34736385553697
"105,545",136.98213075750695
"106,272",136.59505765335425
"106,999",136.18781789585717
"107,73",135.7616882185523
"108,465",135.31835070840907
"109,207",134.85919501029298
"109,956",134.38541591128094
"110,713",133.89831207131917
"111,481",133.39898418068805
"112,259",132.88824436567472
"113,049",132.36690177091302
"113,85",131.8354755041004
"114,663",131.29447853109536
"115,488",130.7441338712635
"116,323",130.1846601274742
"117,169",129.6159761217496
"118,025",129.03810181059868
"118,889",128.45065838462588
"119,761",127.85336159338337
"120,64",127.24592757248098
"121,523",126.62767196338837
"122,411",125.9983067447761
"123,301",125.35734120131896
"124,192",124.70438381652964
"125,084",124.03913723178805
"125,974",123.3613057622224
"126,863",122.67078508208601
"127,747",121.9675713385307
"128,627",121.25205638386564
"129,502",120.52452612080324
"130,37",119.7856685865155
"131,23",119.03626702017462
"132,081",118.2772047787237
"132,923",117.5098612311269
"133,754",116.73541712471525
"134,573",115.95535291071191
"135,381",115.17075423236844
"136,175",114.38449452554825
"136,955",113.59607946753795
"137,72",112.80749632308661
"138,469",112.01974376879598
"139,202",111.23283250918153
"139,917",110.4477718007866
"140,614",109.66358831963653
"141,292",108.88030452186496
"141,952",108.09694712207911
"142,592",107.31257353424625
"143,213",106.52618615497047
"143,815",105.7358394680191
"144,398",104.94155219811232
"144,965",104.1433265796827
"145,514",103.33821206377442
"146,049",102.52619564677376
"146,569",101.70827004846242
"147,076",100.88244154286231
"147,571",100.0506757944998
"148,052",99.21196782876767
"148,52",98.3662860186255
"148,973",97.51363124080261
"149,409",96.65598365434433
"149,825",95.79230358957284
"150,217",94.92358036302348
"150,582",94.04982959634745
"150,918",93.17200730862835
"151,22",92.29113481483067
"151,486",91.40620439764882
"151,714",90.51820473540064
"151,9",89.62911383991734
"152,044",88.73797279322649
"152,145",87.84674326914998
"152,2",86.95543950324905
"152,21",86.06504932292161
"152,175",85.17558704156215
"152,093",84.28904677261477
"151,965",83.40540950646466
"151,793",82.5256790828678
"151,576",81.64988604676846
"151,315",80.77999139265604
"151,012",79.91701499974536
"150,668",79.05996440230376
"150,283",78.21083353814672
"149,861",77.36961979827396
"149,403",76.53833332570213
"148,91",75.71598164724004
"148,385",74.9035690100708
"147,83",74.10208302351573
"147,247",73.31155438894395
"146,638",72.53397726397698
"146,005",71.7683429813814
"145,35",71.01666215411709
"144,675",70.27794274998712
"143,981",69.55419565318655
"143,27",68.84441253570853
"142,544",68.15058781216348
"141,804",67.47372551067829
"141,051",66.81382333603608
"140,287",66.17289165276745
"139,512",65.5528907928255
"138,728",64.95582971284657
"137,935",64.3826777178781
"137,134",63.83742245935913
"136,325",63.32202130590704
"135,509",62.84045993706594
"134,685",62.393737233504794
"133,854",61.98580501399198
"133,016",61.617677670606895
"132,171",61.293339390428564
"131,32",61.01281460548677
"130,463",60.77809188117283
"129,601",60.591209309691926
"128,734",60.45219304021582
"127,863",60.363082777513625
"126,989",60.323889581673285
"126,114",60.33368517927985
"125,239",60.39347288070769
"124,365",60.503315925480265
"123,493",60.66123309559991
"122,625",60.86824661061709
"121,761",61.12141983651524
"120,902",61.41976450203373
"120,048",61.76232581603035
"119,198",62.14712697452778
"118,353",62.573165165267184
"117,51",63.0365015539285
"116,668",63.53813120217665
"115,826",64.07307688935232
"114,982",64.64136127518444
"114,135",65.23997135541077
"113,283",65.86790706922201
"112,426",66.52317835088213
"111,562",67.20278915119873
"110,691",67.9057398762554
"109,814",68.62999133204839
"108,929",69.37457632764328
"108,039",70.13644915065383
"107,144",70.91462615396836
"106,247",71.70807400020136
"105,349",72.51381236856638
"104,452",73.33181429127174
"103,559",74.16005588927783
"102,671",74.99753600913235
"101,79",75.84323675777627
"100,918",76.69615640505891
"100,057",77.55723942818145
"99,2066",78.42449273864139
"98,3689",79.29790313561352
"97,5444",80.17742380528063
"96,7335",81.06206697937189
"95,9364",81.9527915117263
"95,1533",82.84760255344037
"94,3839",83.74747507872112
"93,6283",84.65041407705601
"92,886",85.55643774517736
"92,1568",86.46452499200643
"91,4403",87.37368780363107
"90,7363",88.2839282194602
"90,0444",89.19424187508838
"89,3643",90.10266789136705
"88,6958",91.0091762128021
"88,0387",91.9137857355244
"87,3931",92.81349659955164
"86,7589",93.71029145471766
"86,1363",94.60118655771085
"85,5257",95.48814786194662
"84,9272",96.36820778560569
"84,3414",97.24234238778033
"83,7687",98.11052050069732
"83,2098",98.97274348970552
"82,6651",99.82802280491114
"82,1352",100.676310392441
"81,6207",101.5196195502586
"81,1221",102.35889049382119
"80,6398",103.19415525699873
"80,1745",104.02833273725047
"79,7266",104.86143679850103
"79,297",105.69445485659247
"78,8862",106.52936367436183
"78,495",107.36713301085327
"78,1241",108.20775909574922
"77,7744",109.05028187257697
"77,4465",109.895705386989
"77,1412",110.74204800601292
"76,8591",111.58737897970748
"76,6009",112.43268880886272
